STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SOM,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Federal Republic of Somalia,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,0.043508067,0.0453198,0.0453198,0.0453198,0.0453198,,0.0453198,0.0453198,0.0453198,0.0453198,,0.0453198,0.0453198,0.0453198,0.0453198,,,,,,,0.134795005,0.134413006,0.130239855,0.125608021,0.120652058,0.21712135,0.209555625,0.209483719,0.21320816,0.212,0.22,0.231,0.225,0.213,0.206,0.199,0.192,0.282,0.283,0.283,0.38,0.366,1.01,0.973,0.939,0.911,0.883,0.857,0.836,0.816,0.729,0.562,0.497,0.429,0.369,0.335,,0.484,0.568,0.547,0.527,0.511,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Colombia,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.752565451,1.71218,1.71218,1.71218,1.71218,2.150383014,2.09877,2.09877,2.09877,2.09877,2.850957946,2.77467,2.77467,2.77467,2.77467,3.578916541,3.601388065,3.83162672,4.04261657,3.9965874,4.109458995,4.235275003,4.718193201,4.631722993,5.250881243,5.804664488,6.003961736,6.268320071,6.62372615,6.818071681,7.44,7.96,8.36,9.12,10.0,10.8,12.7,14.5,16.8,17.3,18.4,18.6,19.3,19.2,18.3,18.2,18.4,18.3,18.1,16.9,16.0,15.7,15.5,15.5,15.4,15.1,15.0,14.5,14.2,14.1,14.3,14.8,14.6,13.9,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Italy,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.174851756,6.15221,6.15221,6.15221,6.15221,8.823611612,8.7853,8.7853,8.7853,8.7853,12.11648721,12.0724,12.0724,12.0724,12.0724,17.53367323,18.35385724,19.36759118,20.50216855,21.70831606,23.10868046,24.51669302,25.97430598,27.55999574,29.1781942,30.71539158,32.22683062,33.72757793,35.45300367,37.49770153,39.2,40.4,41.5,42.3,42.7,43.3,44.2,44.9,45.4,46.3,47.4,47.7,47.3,46.1,44.6,42.8,45.8,37.9,37.0,37.8,37.5,36.6,35.9,34.8,33.9,33.4,33.5,34.3,33.8,32.5,32.7,33.5,33.3,33.8,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,China,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,0.184892843,0.18948199,0.194465977,0.201541359,0.209955816,0.217911238,0.22270031,0.231133587,0.243678044,0.265664994,0.294273001,0.32511559,0.356201253,0.423608137,0.500733981,0.594,0.722,0.968,1.45,2.26,3.34,4.46,5.66,6.99,8.63,11.4,14.1,16.6,20.3,23.9,26.8,27.9,27.6,25.5,23.4,21.8,21.0,20.3,19.4,18.0,16.5,14.7,13.7,13.5,13.4,12.8,12.7,12.6,12.2,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OMN,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Oman,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,0.031999539,0.0319995,0.0319995,0.0319995,0.0319995,0.076949538,0.0769495,0.0769495,0.0769495,0.0769495,0.419592153,0.716922785,0.99191658,1.075911189,1.022391313,1.497431082,1.416206163,1.522504653,1.570068629,1.63451124,2.757574989,3.174831939,3.512581002,4.84598745,5.252946893,5.78,6.15,6.56,7.13,7.35,7.71,8.84,8.91,9.77,9.77,9.78,10.0,9.75,9.9,9.93,10.6,10.5,11.1,10.9,10.4,9.34,8.84,8.71,9.33,9.32,10.2,9.43,10.9,12.2,12.8,13.3,12.6,11.4,11.2,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CUW,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Curaçao,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,50.3,42.9,39.7,39.1,37.0,37.6,35.3,36.6,32.4,28.2,28.9,28.7,27.3,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUS,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Australia,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,15.18442454,15.2505,15.2505,15.2505,15.2505,17.69453112,17.7669,17.7669,17.7669,17.7669,21.46877889,21.1365,21.1365,21.1365,21.1365,25.48453379,26.35689573,27.52694657,29.01921828,30.64260684,32.24913748,33.95394738,35.31391649,36.34947263,37.55321424,39.19270007,40.60296401,41.92260663,42.91171865,44.17553136,45.5,46.4,47.1,48.2,49.4,49.2,50.1,50.5,51.0,51.6,52.5,51.9,53.1,52.8,51.7,49.9,48.3,46.6,43.8,49.2,48.0,47.0,45.8,44.5,38.9,35.5,34.9,34.2,32.6,24.3,21.2,25.9,26.1,24.4,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FIN,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Finland,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,9.667410279,9.65778,9.65778,9.65778,9.65778,13.29803548,13.2864,13.2864,13.2864,13.2864,18.73390496,18.7106,18.7106,18.7106,18.7106,28.71777369,30.26123274,31.50627203,32.84656174,34.54667873,36.40514389,38.29273567,39.94314317,41.62090461,43.09931606,44.66745883,46.19602568,47.9504381,49.9336711,52.00953817,53.5,54.2,54.4,54.5,55.0,55.0,55.5,55.7,55.1,55.2,55.0,54.1,52.4,49.3,45.3,40.4,36.3,32.9,31.1,26.8,23.3,20.0,16.4,13.8,11.7,9.8,8.32,6.86,5.86,4.87,4.07,3.74,3.25,2.82,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GRC,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Greece,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.139200969,2.19655,2.19655,2.19655,2.19655,4.867319224,4.90902,4.90902,4.90902,4.90902,10.38049244,10.2383,10.2383,10.2383,10.2383,19.15866543,20.31398263,21.20329467,22.29456553,23.45012246,24.39421829,25.49283926,26.59736039,28.16828109,30.04897549,31.67431933,33.12933254,34.5574427,35.75095922,37.09512133,38.5,40.7,43.4,45.6,47.5,49.1,50.4,51.1,51.9,52.3,52.5,51.7,57.8,57.7,58.0,57.5,56.0,49.5,47.4,54.0,53.0,51.7,49.4,49.2,48.8,48.6,48.3,48.1,47.7,44.8,45.4,46.4,46.8,48.4,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ISL,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Iceland,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.79635009,18.7936,18.7936,18.7936,18.7936,23.59015959,23.5897,23.5897,23.5897,23.5897,28.16724377,28.173,28.173,28.173,28.173,34.6219104,33.55369499,33.71085282,34.74318215,35.7312057,37.16633883,38.05710276,38.97519178,39.61396865,40.57335497,42.49452555,46.44534573,47.70558301,48.67616049,49.45266003,51.2,52.6,53.6,54.4,55.8,55.6,58.3,61.0,63.4,66.7,69.8,68.9,65.4,66.5,65.2,65.3,62.1,59.9,62.8,59.7,60.9,59.9,56.1,51.9,52.4,50.8,49.0,42.6,35.4,32.2,29.2,27.0,24.5,21.3,
