outcome,bin,estimate,std.error,p.value,conf.low,conf.high
Log Income (Continuous),"[5,10)",-0.023894818954959873,0.018296965411067317,0.19631994399038205,-0.06045838674099537,0.012668748831075625
Log Income (Continuous),"[10,15)",-0.056281930427874445,0.030848701421508785,0.07282655028929505,-0.11792814116259268,0.0053642803068437855
Log Income (Continuous),"[15,20)",-0.10269168778102858,0.031203823162592365,0.001638190089850548,-0.16504755268848467,-0.04033582287357248
Log Income (Continuous),"[20,25)",-0.10555156682601191,0.023664440053010254,3.4433059783343146e-5,-0.15284117679999398,-0.05826195685202984
Log Income (Continuous),"[25,+)",-0.10369418345677205,0.026666037876175348,2.4527625045780375e-4,-0.15698200805312693,-0.050406358860417166
English Proficiency (Continuous),"[5,10)",-0.016084480853987643,0.006733601026073475,0.01991647506074421,-0.02954050878154953,-0.0026284529264257554
English Proficiency (Continuous),"[10,15)",-0.028727154844923337,0.01461410175083288,0.05374272289378556,-0.05793110686613603,4.767971762893522e-4
English Proficiency (Continuous),"[15,20)",-0.05224808374213076,0.02866817089262924,0.07312365958874487,-0.1095368519167848,0.005040684432523278
English Proficiency (Continuous),"[20,25)",-0.059966656761412614,0.03396575425619849,0.0823249347264059,-0.12784180054887048,0.007908487026045248
English Proficiency (Continuous),"[25,+)",-0.04711775785316507,0.02826863770759463,0.10052157651796788,-0.103608122666082,0.009372606959751867
